Date(UTC),UnixTimeStamp,Value
2015-07-30,1438214400,8893
2015-07-31,1438300800,0
2015-08-01,1438387200,0
2015-08-02,1438473600,0
2015-08-03,1438560000,0
2015-08-04,1438646400,0
2015-08-05,1438732800,0
2015-08-06,1438819200,0
2015-08-07,1438905600,2050
2015-08-08,1438992000,2881
2015-08-09,1439078400,1329
2015-08-10,1439164800,2037
2015-08-11,1439251200,4963
2015-08-12,1439337600,2036
2015-08-13,1439424000,2842
2015-08-14,1439510400,3174
2015-08-15,1439596800,2284
2015-08-16,1439683200,2440
2015-08-17,1439769600,2512
2015-08-18,1439856000,2494
2015-08-19,1439942400,3246
2015-08-20,1440028800,2303
2015-08-21,1440115200,3919
2015-08-22,1440201600,3579
2015-08-23,1440288000,4190
2015-08-24,1440374400,4432
2015-08-25,1440460800,4487
2015-08-26,1440547200,4156
2015-08-27,1440633600,5590
2015-08-28,1440720000,4758
2015-08-29,1440806400,4139
2015-08-30,1440892800,4572
2015-08-31,1440979200,5196
2015-09-01,1441065600,5153
2015-09-02,1441152000,5195
2015-09-03,1441238400,4777
2015-09-04,1441324800,5642
2015-09-05,1441411200,5519
2015-09-06,1441497600,5521
2015-09-07,1441584000,5702
2015-09-08,1441670400,5622
2015-09-09,1441756800,5604
2015-09-10,1441843200,5341
2015-09-11,1441929600,6460
2015-09-12,1442016000,5596
2015-09-13,1442102400,6057
2015-09-14,1442188800,5572
2015-09-15,1442275200,5409
2015-09-16,1442361600,5872
2015-09-17,1442448000,5368
2015-09-18,1442534400,5802
2015-09-19,1442620800,5205
2015-09-20,1442707200,6402
2015-09-21,1442793600,6305
2015-09-22,1442880000,6804
2015-09-23,1442966400,7404
2015-09-24,1443052800,6224
2015-09-25,1443139200,5851
2015-09-26,1443225600,5907
2015-09-27,1443312000,5760
2015-09-28,1443398400,6123
2015-09-29,1443484800,5738
2015-09-30,1443571200,5870
2015-10-01,1443657600,6421
2015-10-02,1443744000,6063
2015-10-03,1443830400,6112
2015-10-04,1443916800,6624
2015-10-05,1444003200,6279
2015-10-06,1444089600,6458
2015-10-07,1444176000,7121
2015-10-08,1444262400,6926
2015-10-09,1444348800,6763
2015-10-10,1444435200,6529
2015-10-11,1444521600,6023
2015-10-12,1444608000,6593
2015-10-13,1444694400,6818
2015-10-14,1444780800,6830
2015-10-15,1444867200,6499
2015-10-16,1444953600,6795
2015-10-17,1445040000,6567
2015-10-18,1445126400,6481
2015-10-19,1445212800,6604
2015-10-20,1445299200,5897
2015-10-21,1445385600,6182
2015-10-22,1445472000,5979
2015-10-23,1445558400,6888
2015-10-24,1445644800,6361
2015-10-25,1445731200,5830
2015-10-26,1445817600,5938
2015-10-27,1445904000,6784
2015-10-28,1445990400,7346
2015-10-29,1446076800,7836
2015-10-30,1446163200,7941
2015-10-31,1446249600,7557
2015-11-01,1446336000,6915
2015-11-02,1446422400,6558
2015-11-03,1446508800,7399
2015-11-04,1446595200,7037
2015-11-05,1446681600,7498
2015-11-06,1446768000,7882
2015-11-07,1446854400,10996
2015-11-08,1446940800,12413
2015-11-09,1447027200,7689
2015-11-10,1447113600,8151
2015-11-11,1447200000,10217
2015-11-12,1447286400,9534
2015-11-13,1447372800,7891
2015-11-14,1447459200,7211
2015-11-15,1447545600,7170
2015-11-16,1447632000,7442
2015-11-17,1447718400,7145
2015-11-18,1447804800,7373
2015-11-19,1447891200,8876
2015-11-20,1447977600,6348
2015-11-21,1448064000,6822
2015-11-22,1448150400,7083
2015-11-23,1448236800,8260
2015-11-24,1448323200,7152
2015-11-25,1448409600,7098
2015-11-26,1448496000,7278
2015-11-27,1448582400,6639
2015-11-28,1448668800,6817
2015-11-29,1448755200,6853
2015-11-30,1448841600,8986
2015-12-01,1448928000,6794
2015-12-02,1449014400,6502
2015-12-03,1449100800,6971
2015-12-04,1449187200,6898
2015-12-05,1449273600,6784
2015-12-06,1449360000,9103
2015-12-07,1449446400,7141
2015-12-08,1449532800,6697
2015-12-09,1449619200,7001
2015-12-10,1449705600,7444
2015-12-11,1449792000,8105
2015-12-12,1449878400,8205
2015-12-13,1449964800,7426
2015-12-14,1450051200,15550
2015-12-15,1450137600,21098
2015-12-16,1450224000,10304
2015-12-17,1450310400,9612
2015-12-18,1450396800,9032
2015-12-19,1450483200,9314
2015-12-20,1450569600,9879
2015-12-21,1450656000,12063
2015-12-22,1450742400,21027
2015-12-23,1450828800,22740
2015-12-24,1450915200,13494
2015-12-25,1451001600,9521
2015-12-26,1451088000,10726
2015-12-27,1451174400,21867
2015-12-28,1451260800,12368
2015-12-29,1451347200,11358
2015-12-30,1451433600,21767
2015-12-31,1451520000,10301
2016-01-01,1451606400,8233
2016-01-02,1451692800,9164
2016-01-03,1451779200,9258
2016-01-04,1451865600,9474
2016-01-05,1451952000,16430
2016-01-06,1452038400,17074
2016-01-07,1452124800,22075
2016-01-08,1452211200,10919
2016-01-09,1452297600,11793
2016-01-10,1452384000,10320
2016-01-11,1452470400,10893
2016-01-12,1452556800,10862
2016-01-13,1452643200,17665
2016-01-14,1452729600,10653
2016-01-15,1452816000,9875
2016-01-16,1452902400,10664
2016-01-17,1452988800,9747
2016-01-18,1453075200,12916
2016-01-19,1453161600,13420
2016-01-20,1453248000,10610
2016-01-21,1453334400,10734
